tree_id,longitude,latitude,common,scientific,link,health,notes,memorial
885,-76.487308,42.476362,Red Pine,Pinus resinosa,https://en.wikipedia.org/wiki/Pinus_resinosa,3,,
886,-76.487311,42.476373,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,3,,
887,-76.487312,42.476384,Red Pine,Pinus resinosa,https://en.wikipedia.org/wiki/Pinus_resinosa,4,,
888,-76.487383,42.476469,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
889,-76.487619,42.476354,Vanhouttei Spirea,Spirea x vanhouttei,https://en.wikipedia.org/wiki/Spiraea,5,,
890,-76.487647,42.476360,Vanhouttei Spirea,Spirea x vanhouttei,https://en.wikipedia.org/wiki/Spiraea,5,,
891,-76.487709,42.476401,Pin Oak,Quercus palustris,https://en.wikipedia.org/wiki/Quercus_palustris,5,,
892,-76.487763,42.476610,Hawthorn,Crataegus,https://en.wikipedia.org/wiki/Crataegus,5,Black,
893,-76.487753,42.476666,Hawthorn,Crataegus,https://en.wikipedia.org/wiki/Crataegus,5,Black,
894,-76.487946,42.476611,Box Elder,Acer negundo,https://en.wikipedia.org/wiki/Acer_negundo,5,,
895,-76.487970,42.476696,Bradford Pear,Pyrus calleryana,https://en.wikipedia.org/wiki/Pyrus_calleryana,5,,
896,-76.487862,42.476916,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,5,Siberian,
897,-76.487812,42.476861,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Southern,
898,-76.487550,42.476806,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
899,-76.487529,42.476764,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
900,-76.487502,42.476776,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
901,-76.487483,42.476753,Silver Maple,Acer saccharinum,https://en.wikipedia.org/wiki/Acer_saccharinum,4,Red galls,
902,-76.487391,42.476642,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
903,-76.487365,42.476685,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,5,,
904,-76.487347,42.476660,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
905,-76.487303,42.476670,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,5,,
906,-76.487348,42.476627,River Birch,Betula nigra,https://en.wikipedia.org/wiki/Betula_nigra,5,,
907,-76.487350,42.476498,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
908,-76.487293,42.476496,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
909,-76.487248,42.476511,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
910,-76.487196,42.476505,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
911,-76.487147,42.476522,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
912,-76.487065,42.476524,Japanese Lilac Tree,Syringa reticulata,https://en.wikipedia.org/wiki/Syringa_reticulata,5,,
913,-76.486988,42.476530,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,,
914,-76.486980,42.476639,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,0,,
915,-76.486939,42.476657,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,5,,
916,-76.486868,42.476669,Redbud,Cercis canadensis,https://en.wikipedia.org/wiki/Cercis_canadensis,5,,
917,-76.486910,42.476535,Eastern White Pine,Pinus strobus,https://en.wikipedia.org/wiki/Pinus_strobus,5,,
918,-76.486878,42.476555,White Fir,Abies concolor,https://en.wikipedia.org/wiki/Abies_concolor,5,,
919,-76.486858,42.476555,White Fir,Abies concolor,https://en.wikipedia.org/wiki/Abies_concolor,5,,
920,-76.486819,42.476536,Red Pine,Pinus resinosa,https://en.wikipedia.org/wiki/Pinus_resinosa,3,,
921,-76.486787,42.476564,Hemlock,Tsuga,https://en.wikipedia.org/wiki/Tsuga,4,Canada,
922,-76.486686,42.476414,White Fir,Abies concolor,https://en.wikipedia.org/wiki/Abies_concolor,5,,
923,-76.486677,42.476376,White Fir,Abies concolor,https://en.wikipedia.org/wiki/Abies_concolor,5,,
924,-76.486638,42.476351,White Fir,Abies concolor,https://en.wikipedia.org/wiki/Abies_concolor,5,,
925,-76.486644,42.476322,White Fir,Abies concolor,https://en.wikipedia.org/wiki/Abies_concolor,5,,
926,-76.486628,42.476278,Scotch Pine,Pinus sylvestris,https://en.wikipedia.org/wiki/Pinus_sylvestris,4,,
